,Energy consumption,Energy production,CO2 emission,clusters,cluster
195,0.098566925,0.033196589,8.372155215,0,Pink
196,0.015595912,0.0,1.0,0,Pink
197,4.826307017,10.08926389,351.0774625,1,Rose pink
198,1.422165479,0.557483871,60.99892469,0,Pink
199,0.445641752,0.880257595,31.11468147,0,Pink
200,0.395092797,0.424585459,20.31228238,0,Pink
201,0.559048718,0.373716947,29.86459791,0,Pink
202,0.02378116,0.003913129,1.674374634,0,Pink
203,1.00952175,0.08704365,59.29046609,0,Pink
204,2.697638303,0.477170279,139.2517359,4,black
205,0.009065216,0.001101539,0.7,0,Pink
206,0.026659533,0.001589967,1.7,0,Pink
207,0.008349479,0.0,0.5,0,Pink
208,0.018732536,0.02106905,0.217286214,0,Pink
209,0.127276495,0.276794892,8.767200111,0,Pink
210,0.21953871,0.162495947,14.59038311,0,Pink
211,0.051469229,0.020376747,3.861523501,0,Pink
212,8.314025736,6.429003138,326.6324561,4,black
213,0.001527765,0.0,0.06038,0,Pink
214,0.076286241,0.836791428,3.757935894,0,Pink
215,0.757166891,0.406250886,45.00045913,0,Pink
216,0.01614896,0.000547649,1.1,0,Pink
217,0.15133179,0.276360967,9.145327951,0,Pink
218,0.004800881,0.001177962,0.4,0,Pink
219,0.005189606,6.2e-05,0.2,0,Pink
220,0.0323919,0.000320323,2.200538997,0,Pink
221,0.080873679,0.201936304,3.3,0,Pink
222,12.57765771,17.8937346,511.886989,1,Rose pink
223,0.007196546,0.0,0.3,0,Pink
224,0.005068439,0.000847306,0.3,0,Pink
225,0.003380168,0.0,0.2,0,Pink
226,1.019361878,0.312524858,52.29900454,0,Pink
228,1.180683056,3.006361218,49.32655799,0,Pink
229,0.001561242,2.07e-05,0.09636,0,Pink
230,0.01611331,0.55982093,0.6,0,Pink
231,0.071573739,0.112608269,2.1,0,Pink
232,0.147887967,0.070099072,5.39223863,0,Pink
233,0.38182614,0.189777203,20.01460225,0,Pink
234,0.344934493,0.139458963,32.29519804,0,Pink
235,0.110474107,0.0,7.433642356,0,Pink
236,1.704774213,1.286943971,119.5003782,4,black
237,0.124262601,0.092015333,7.34837587,0,Pink
238,0.877286981,1.119292691,53.5824311,0,Pink
239,0.012012843,0.0,1.9,0,Pink
240,0.001933484,0.000278991,0.07958,0,Pink
241,0.285568896,0.007584422,16.20987094,0,Pink
242,0.392478784,0.984579522,18.34393227,0,Pink
243,2.243045836,2.694475079,118.5143111,0,Pink
244,0.104176781,0.022082654,5.502747176,0,Pink
245,0.006194519,0.36298331,0.258852797,0,Pink
246,0.00971577,1.03e-05,0.6,0,Pink
247,0.094437584,0.000196327,5.391597252,0,Pink
248,0.021575794,0.011239177,1.095739981,0,Pink
249,0.071721469,0.020842694,3.5,0,Pink
250,0.027487099,0.005611852,1.430463627,0,Pink
251,1.251805364,0.443273806,51.84197286,0,Pink
252,11.12273263,5.162512524,409.0440155,1,Rose pink
253,0.042259397,0.592277632,1.956940792,0,Pink
254,0.004704081,0.0,0.3,0,Pink
255,0.126702417,0.063225415,4.639620086,0,Pink
256,14.67738067,5.422927454,872.19349,2,Lilac
257,0.142858939,0.082919961,5.3,0,Pink
258,1.349011565,0.39067734,99.98897663,0,Pink
259,0.003064312,0.0,0.1,0,Pink
260,0.031041587,0.001115964,1.8,0,Pink
261,0.169397024,0.076385779,9.116769656,0,Pink
262,0.029086278,0.005641818,1.3,0,Pink
263,0.003463795,0.0,0.4,0,Pink
264,0.023114936,0.000485651,1.7,0,Pink
265,0.02594695,0.00289324,1.5,0,Pink
266,0.090688579,0.019570702,4.30069054,0,Pink
267,0.870095379,0.0,57.81347691,0,Pink
268,12.42040714,8.906086418,885.9677365,2,Lilac
269,3.982633119,7.330533576,256.0407332,4,black
270,5.575352383,10.67435552,302.8549259,4,black
271,1.022671069,5.217193892,72.1795437,0,Pink
272,0.621915695,0.040454205,40.72031207,0,Pink
273,0.771464288,0.000746443,58.4778111,0,Pink
274,7.64285687,1.307405947,451.5731149,1,Rose pink
275,0.149601163,0.001487952,11.15785751,0,Pink
276,22.34522799,4.567810013,1232.962057,2,Lilac
277,0.217415502,0.011284973,15.5733883,0,Pink
278,2.185575842,4.269378362,171.63915,4,black
279,0.158557126,0.032807275,8.711167912,0,Pink
280,0.000423423,0.0,0.02544,0,Pink
281,0.841957355,4.813990108,58.83293724,0,Pink
282,0.226525712,0.139519363,7.277809112,0,Pink
283,0.041093364,0.039282626,0.434426946,0,Pink
284,0.16453606,0.029046063,6.875440399,0,Pink
285,0.22006051,0.00340989,16.3444611,0,Pink
286,0.008615121,0.002944905,0.2,0,Pink
287,0.006881554,0.0,0.4,0,Pink
288,0.732451876,3.207456076,40.2011515,0,Pink
289,0.315284561,0.138951237,12.06823651,0,Pink
290,0.162394489,0.002076416,9.065406868,0,Pink
291,0.024255941,0.0,1.60227216,0,Pink
292,0.032102093,0.005455824,1.808207208,0,Pink
293,0.022833993,0.012665554,0.860145823,0,Pink
294,1.930709493,3.152099414,111.7787066,0,Pink
295,0.008187981,0.0,0.5,0,Pink
296,0.01520079,0.002417922,0.6,0,Pink
297,0.069591483,0.0,2.90046945,0,Pink
298,0.032220539,0.0,2.1,0,Pink
299,0.017964219,0.000351322,3.2,0,Pink
300,0.055961326,0.00537316,3.607606341,0,Pink
301,6.467265827,9.581778275,382.6174911,1,Rose pink
302,0.109987008,0.003709547,5.83484052,0,Pink
303,0.147664204,0.126769205,13.25696481,0,Pink
304,0.438158126,0.01446231,29.99236941,0,Pink
305,0.135058115,0.12432431,1.317705594,0,Pink
306,0.050084684,0.014011548,1.810809341,0,Pink
307,0.052972278,0.019083565,2.381157215,0,Pink
308,4.052867106,2.645187085,231.2368775,4,black
309,0.820106848,0.66842576,34.19486808,0,Pink
310,0.059025039,0.004496922,3.7,0,Pink
311,0.011084372,0.003305702,1.081371306,0,Pink
312,0.86685315,5.454267576,49.21027214,0,Pink
313,0.952790271,0.71461531,87.70962087,0,Pink
